CustomerNumber,Email,SMSTelephone,FirstName,LastName,Salutation,JobPosition,JobLevel,Language,CompanyNumber,Company,CompanyRevenue,CompanyRevenueCluster,AgentName,AgentEmail,Country,State,Area,City,Division,Currency,NPSFormat,NPSType,NumberOrder,OrderValue,DateOrder,segment_a,segment_b,segment_c,segment_d,segment_e,FlightName,Net Promoter Score,Comment,SurveyCompletedDate,EmailSentDate,FollowUpRequired
1,customer001@nps-test.net,1229788251,John001,Smith001,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4531,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
2,customer002@nps-test.net,1366507205,John002,Smith002,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4532,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
3,customer003@nps-test.net,1366507205,John003,Smith003,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4533,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
4,customer004@nps-test.net,1366507205,John004,Smith004,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4534,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
5,customer005@nps-test.net,1366507205,John005,Smith005,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4535,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
6,customer006@nps-test.net,1366507205,John006,Smith006,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4536,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
7,customer007@nps-test.net,1366507205,John007,Smith007,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4537,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
8,customer008@nps-test.net,1366507205,John008,Smith008,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4538,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
9,customer009@nps-test.net,1366507205,John009,Smith009,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4539,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
10,customer010@nps-test.net,1366507205,John010,Smith010,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4540,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,N
11,customer011@nps-test.net,1366507205,John011,Smith011,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4541,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
12,customer012@nps-test.net,1366507205,John012,Smith012,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4542,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
13,customer013@nps-test.net,1366507205,John013,Smith013,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4543,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
14,customer014@nps-test.net,1366507205,John014,Smith014,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4544,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
15,customer015@nps-test.net,1366507205,John015,Smith015,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4545,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
16,customer016@nps-test.net,1366507205,John016,Smith016,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4546,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
17,customer017@nps-test.net,1366507205,John017,Smith017,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4547,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
18,customer018@nps-test.net,1366507205,John018,Smith018,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4548,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
19,customer019@nps-test.net,1366507205,John019,Smith019,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4549,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
20,customer020@nps-test.net,1366507205,John020,Smith020,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4550,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,N
21,customer021@nps-test.net,1366507205,John021,Smith021,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4551,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
22,customer022@nps-test.net,1366507205,John022,Smith022,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4552,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
23,customer023@nps-test.net,1366507205,John023,Smith023,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4553,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
24,customer024@nps-test.net,1366507205,John024,Smith024,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4554,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
25,customer025@nps-test.net,1366507205,John025,Smith025,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4555,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
26,customer026@nps-test.net,1366507205,John026,Smith026,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4556,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
27,customer027@nps-test.net,1366507205,John027,Smith027,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4557,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,N
28,customer028@nps-test.net,1366507205,John028,Smith028,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4558,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
29,customer029@nps-test.net,1366507205,John029,Smith029,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4559,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
30,customer030@nps-test.net,1366507205,John030,Smith030,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4560,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,N
31,customer031@nps-test.net,1366507205,John031,Smith031,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4561,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
32,customer032@nps-test.net,1366507205,John032,Smith032,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4562,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
33,customer033@nps-test.net,1366507205,John033,Smith033,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4563,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
34,customer034@nps-test.net,1366507205,John034,Smith034,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4564,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
35,customer035@nps-test.net,1366507205,John035,Smith035,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4565,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
36,customer036@nps-test.net,1366507205,John036,Smith036,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4566,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
37,customer037@nps-test.net,1366507205,John037,Smith037,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4567,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,N
38,customer038@nps-test.net,1366507205,John038,Smith038,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4568,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
39,customer039@nps-test.net,1366507205,John039,Smith039,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4569,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
40,customer040@nps-test.net,1366507205,John040,Smith040,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4570,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,N
41,customer041@nps-test.net,1366507205,John041,Smith041,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4571,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
42,customer042@nps-test.net,1366507205,John042,Smith042,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4572,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
43,customer043@nps-test.net,1366507205,John043,Smith043,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4573,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
44,customer044@nps-test.net,1366507205,John044,Smith044,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4574,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
45,customer045@nps-test.net,1366507205,John045,Smith045,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4575,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
46,customer046@nps-test.net,1366507205,John046,Smith046,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4576,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
47,customer047@nps-test.net,1366507205,John047,Smith047,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4577,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,N
48,customer048@nps-test.net,1366507205,John048,Smith048,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4578,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
